id,store,product_name,price,timestamp
3,Store A,Eggs,2.99,2024-06-01 10:20:00
4,Store C,Milk,2.49,2024-06-01 08:45:00
5,Store B,Eggs,3.1,2024-06-01 11:05:00
6,Store A,Bread,1.45,2024-06-02 08:10:00
7,Store C,Bread,1.6,2024-06-02 09:30:00
8,Store A,Butter,3.99,2024-06-02 14:50:00
9,Store B,Butter,4.09,2024-06-02 15:00:00
10,Store C,Butter,4.15,2024-06-02 11:40:00
11,Store A,Apples,2.99,2024-06-03 08:00:00
12,Store B,Apples,2.89,2024-06-03 08:50:00
13,Store C,Apples,3.1,2024-06-03 09:15:00
14,Store A,Carrots,1.1,2024-06-03 10:00:00
15,Store B,Carrots,1.2,2024-06-03 10:25:00
16,Store C,Carrots,1.3,2024-06-03 11:00:00
17,Store A,Orange Juice,3.5,2024-06-04 09:00:00
18,Store B,Orange Juice,3.6,2024-06-04 09:30:00
19,Store C,Orange Juice,3.55,2024-06-04 10:00:00
20,Store A,Chicken Breast,7.99,2024-06-04 17:15:00
21,Store B,Chicken Breast,8.25,2024-06-04 17:40:00
22,Store C,Chicken Breast,8.1,2024-06-04 18:00:00
23,Store A,Tomatoes,2.59,2024-06-05 09:20:00
24,Store B,Tomatoes,2.69,2024-06-05 10:05:00
25,Store C,Tomatoes,2.79,2024-06-05 10:45:00
26,Store A,Pasta,1.99,2024-06-05 15:00:00
27,Store B,Pasta,2.09,2024-06-05 15:35:00
28,Store C,Pasta,2.19,2024-06-05 16:15:00
29,Store A,Yogurt,0.99,2024-06-05 08:55:00
30,Store B,Yogurt,1.09,2024-06-05 09:30:00
